ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10368039,HZ104053,01/03/2016 10:30:00 PM,036XX W ROOSEVELT RD,0610,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1133,011,24,29,05,1152052,1894463,2016,01/10/2016 08:46:55 AM,41.86627575,-87.717278673,"(41.86627575, -87.717278673)"
10366979,HZ103152,01/03/2016 10:30:00 PM,038XX W ADAMS ST,2027,NARCOTICS,POSS: CRACK,RESIDENTIAL YARD (FRONT/BACK),true,false,1122,011,28,26,18,1150830,1898737,2016,01/10/2016 08:46:55 AM,41.878028065,-87.721652966,"(41.878028065, -87.721652966)"
10367022,HZ103158,01/03/2016 10:29:00 PM,059XX W ROOSEVELT RD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,false,true,1513,015,29,25,26,1137155,1894075,2016,01/10/2016 08:46:55 AM,41.86549136,-87.771976968,"(41.86549136, -87.771976968)"
10366869,HZ103100,01/03/2016 10:25:00 PM,032XX N LECLAIRE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1634,016,38,15,06,1141791,1921280,2016,01/10/2016 08:46:55 AM,41.940060553,-87.754283632,"(41.940060553, -87.754283632)"
10366927,HZ103098,01/03/2016 10:15:00 PM,080XX S RACINE AVE,031A,ROBBERY,ARMED: HANDGUN,OTHER,false,false,0612,006,21,71,03,1169722,1851379,2016,01/10/2016 08:46:55 AM,41.747682356,-87.65366146,"(41.747682356, -87.65366146)"
10367085,HZ103259,01/03/2016 10:15:00 PM,049XX W DRUMMOND PL,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,2521,025,31,19,07,1143103,1917176,2016,01/10/2016 08:46:55 AM,41.928774359,-87.749564259,"(41.928774359, -87.749564259)"
10366905,HZ103118,01/03/2016 10:10:00 PM,031XX W SCHOOL ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,true,false,1733,017,33,21,04A,1154699,1921729,2016,01/10/2016 08:46:55 AM,41.94104358,-87.706830218,"(41.94104358, -87.706830218)"
10366908,HZ103104,01/03/2016 10:10:00 PM,007XX S KENNETH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,1131,011,24,26,14,1146811,1896180,2016,01/10/2016 08:46:55 AM,41.871089003,-87.736475205,"(41.871089003, -87.736475205)"
10366949,HZ103130,01/03/2016 10:08:00 PM,040XX W DIVERSEY AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2523,025,31,21,18,1149074,1918313,2016,01/10/2016 08:46:55 AM,41.931780735,-87.727593069,"(41.931780735, -87.727593069)"
10366910,HZ103091,01/03/2016 10:08:00 PM,081XX S COTTAGE GROVE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA BUS,true,false,0631,006,6,44,11,1182970,1851301,2016,01/10/2016 08:46:55 AM,41.747170897,-87.605119541,"(41.747170897, -87.605119541)"
10366893,HZ103095,01/03/2016 10:06:00 PM,045XX S KNOX AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,false,true,0815,008,23,56,26,1146119,1874031,2016,01/10/2016 08:46:55 AM,41.81032229,-87.739577968,"(41.81032229, -87.739577968)"
